NaN,NaN,NaN,NaN,NaN,8.736,8.7019,8.6374,8.3767,7.798,7.1444,6.3521,5.0412,4.0751,4.0001,4.5146,5.3317,5.8255,6.2807,6.3784,6.4972,6.7453,7.1102,7.4302,7.725,8.0068,8.2077,NaN,NaN,NaN,NaN
8.581,8.6365,8.7128,8.9848,9.0598,8.9257,8.815,8.7337,8.6317,8.4473,8.1401,7.8113,NaN,NaN,NaN,NaN,6.6014,6.7605,6.9926,7.0805,7.0425,7.0256,7.3628,7.6044,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6941,8.7311,8.7457,8.9575,9.0573,9.0351,8.9621,8.8902,8.8906,8.9086,8.7206,8.6683,8.8658,NaN,NaN,NaN,7.9122,7.5891,7.5157,7.548,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.7779,8.8654,8.9143,8.9849,9.0365,9.0495,9.0735,9.0854,NaN,9.2778,NaN,8.9836,8.9298,8.877,8.8923,8.9605,8.7509,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.3222,9.4227,9.423,9.363,9.3496,9.2927,9.3424,9.39,9.5796,9.6889,9.7316,9.4382,9.1244,8.9771,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.7848,9.866,9.8219,9.7624,9.7042,9.5177,9.4901,9.5594,9.7586,9.934,9.9858,9.8907,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.064,10.105,10.081,10.084,10.029,9.7316,NaN,NaN,9.9832,10.107,10.215,10.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.291,10.346,10.4,10.468,10.491,NaN,NaN,10.232,10.166,10.222,10.337,10.388,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.642,10.754,10.866,10.955,10.985,10.949,10.654,10.39,10.283,10.297,10.384,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.96,11.152,11.303,11.367,11.287,11.064,10.804,10.526,10.352,10.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.201,11.428,11.587,11.593,11.413,11.18,10.968,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11.361,11.65,11.835,11.79,11.55,11.329,NaN,NaN,11.152,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
