NaN,NaN,NaN,NaN,NaN,8.1715,8.2545,8.3061,8.094,7.4614,6.7646,5.9768,4.5527,3.8778,4.0064,4.7215,5.7538,6.2239,6.543,6.9381,7.3962,7.7019,8.0512,8.3015,8.3869,8.5367,8.5718,NaN,NaN,NaN,NaN
7.9175,7.9388,8.0902,8.2352,8.2677,8.2275,8.3544,8.4545,8.3616,8.0758,7.6533,7.2703,NaN,NaN,NaN,NaN,6.9622,7.0662,7.1608,7.3154,7.4657,8.0759,8.383,8.575,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.9237,7.9874,8.1725,8.2067,8.2183,8.2243,8.4917,8.6908,8.6126,8.5088,8.2038,8.1221,8.1716,NaN,NaN,NaN,8.0636,7.7398,7.6141,7.6418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7.9629,8.0553,8.3349,8.3357,8.2967,8.2845,8.5361,8.8503,NaN,9.0147,NaN,8.6862,8.5821,8.4873,8.5217,8.9037,8.8096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.1078,8.2381,8.5705,8.6527,8.6253,8.63,8.7533,8.9935,9.2508,9.3459,9.3822,9.1642,8.8911,8.7334,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.3287,8.5539,8.9448,9.092,9.0494,8.9761,8.9411,9.103,9.3518,9.4722,9.5286,9.5042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6426,8.9522,9.3522,9.5245,9.4732,9.2779,NaN,NaN,9.6042,9.6472,9.6833,9.6912,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.0608,9.3912,9.7236,9.9223,9.9433,NaN,NaN,9.965,9.8652,9.849,9.8506,9.8312,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.3495,9.6913,10,10.264,10.361,10.438,10.329,10.129,10.043,10.016,9.9752,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5671,9.9135,10.18,10.425,10.666,10.704,10.534,10.317,10.227,10.209,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.7848,10.126,10.37,10.573,10.807,10.833,10.799,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.063,10.381,10.588,10.729,10.852,10.691,NaN,NaN,10.974,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
