NaN,NaN,NaN,NaN,NaN,8.4583,8.3549,8.2886,8.0336,7.3868,6.6663,5.9156,4.8681,4.334,4.4069,4.9378,5.7203,6.0908,6.3322,6.5797,6.8334,6.9269,7.2859,7.5978,7.8869,8.1401,8.3033,NaN,NaN,NaN,NaN
8.7183,8.8515,9.005,9.1033,9.0309,8.7189,8.6267,8.5996,8.4556,8.1064,7.6661,7.3186,NaN,NaN,NaN,NaN,6.9173,6.992,7.058,7.147,7.1587,7.0704,7.4063,7.6465,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.3506,8.4875,8.637,8.7446,8.7748,8.7362,8.7536,8.7708,8.6882,8.5737,8.2705,8.2527,8.4827,NaN,NaN,NaN,8.0079,7.6773,7.5453,7.5599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.3357,8.488,8.6442,8.7628,8.8307,8.8776,8.942,9.0115,NaN,9.1146,NaN,8.8024,8.7773,8.8121,8.88,8.9623,8.7647,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.6007,8.7764,8.9686,9.129,9.1899,9.215,9.2625,9.3899,9.5984,9.5964,9.5751,9.3066,9.006,8.8735,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,9.2092,9.4792,9.7213,9.7402,9.6777,9.6056,9.7203,9.9355,9.9548,9.8926,9.7898,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.473,9.7517,10.054,10.23,10.193,10.038,NaN,NaN,10.315,10.253,10.204,10.175,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.8348,10.172,10.416,10.522,10.526,NaN,NaN,10.702,10.586,10.476,10.423,10.386,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.9379,10.339,10.568,10.618,10.636,10.65,10.684,10.745,10.709,10.61,10.555,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.9348,10.354,10.513,10.508,10.63,10.702,10.731,10.787,10.768,10.677,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.7587,10.207,10.385,10.537,10.776,10.868,10.805,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.3716,10.089,10.53,10.863,11.118,11.202,NaN,NaN,11.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
