NaN,NaN,NaN,NaN,NaN,8.6368,8.7503,8.8533,8.6344,7.9436,7.1267,6.5699,6.6751,7.0003,7.1482,6.9294,6.4134,7.3619,7.6101,7.052,6.1985,6.6533,7.2238,7.6705,7.9213,8.0914,8.154,NaN,NaN,NaN,NaN
8.5988,8.6596,8.5944,8.6245,8.6836,8.7541,8.9011,8.9719,8.8502,8.5071,8.0202,7.6752,NaN,NaN,NaN,NaN,7.3095,8.4227,8.8481,8.4234,6.7159,6.7414,7.2992,7.6953,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.655,8.7549,8.7036,8.7169,8.7898,8.9245,9.0832,9.1289,9.0246,8.8446,8.479,8.3591,8.5359,NaN,NaN,NaN,8.3374,9.1379,9.5572,9.5649,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.7279,8.9393,8.9292,8.927,8.9889,9.1433,9.2662,9.3043,NaN,9.194,NaN,8.8078,8.8649,9.4316,11.04,10.96,9.1563,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.813,9.1994,9.2963,9.266,9.2629,9.339,9.4158,9.439,9.5186,9.5164,9.5059,9.262,9.025,9.074,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8.9773,9.5037,9.7161,9.6889,9.6313,9.6511,9.5806,9.5545,9.7196,9.7851,9.7861,9.7094,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9.5207,9.8827,10.01,10.002,9.9721,9.9305,NaN,NaN,10.111,10.114,10.109,10.084,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.06,10.153,10.089,10.097,10.189,NaN,NaN,10.609,10.474,10.421,10.386,10.313,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.189,10.185,10.1,10.173,10.422,10.811,10.852,10.721,10.646,10.614,10.583,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.083,10.139,10.083,10.194,10.476,10.798,10.844,10.769,10.715,10.699,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.163,10.21,10.046,10.116,10.365,10.543,10.565,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10.482,10.469,10.246,10.272,10.473,10.622,NaN,NaN,11.248,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
