-20,52,10.71,10.23,10,10.88,12,13.04,16.2,15.91,15.32,12.82,11.81,11.29
-19,52,11.03,10.52,10.26,11.01,12.06,13.21,16.39,16.01,15.47,12.97,11.97,11.4
-18,52,11.25,10.71,10.46,11.11,12.04,13.3,16.49,16.1,15.6,13.09,12.11,11.5
-17,52,11.36,10.82,10.61,11.2,12.01,13.34,16.47,16.1,15.64,13.15,12.2,11.52
-16,52,11.29,10.92,10.76,11.21,11.95,13.28,16.34,16.01,15.53,13.1,12.11,11.43
-15,52,11.25,10.96,10.82,11.22,11.94,13.23,16.31,15.97,15.51,13.07,11.98,11.31
-14,52,11.2,10.95,10.82,11.13,11.9,13.21,16.39,16.04,15.53,13.07,11.84,11.15
-13,52,11.09,10.85,10.74,10.99,11.84,13.26,16.53,16.15,15.51,13.05,11.68,10.98
-12,52,10.81,10.57,10.52,10.76,11.85,13.16,16.72,16.26,15.37,12.99,11.54,10.76
-11,52,10.68,10.35,10.37,10.52,11.82,13.33,16.92,16.43,15.22,12.86,11.38,10.55
-10,52,10.62,10.22,10.27,10.33,11.79,13.44,17.01,16.56,15.11,12.79,11.28,10.42
-9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,52,10.15,9.09,9.08,9.39,11.13,12.89,16.59,16.37,15.96,14.14,12.14,10.6
-6,52,10.04,8.89,8.92,9.34,11.06,12.76,16.32,16.21,16.1,14.32,12.08,10.42
-5,52,9.97,8.71,8.8,9.34,11.02,12.65,16.05,16.07,16.26,14.49,12.02,10.26
-4,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-3,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,52,8.33,7.27,8.26,9.07,11.34,13.45,15.95,17.79,17.22,14.27,11.49,9.67
2,52,7.94,6.91,8.07,8.98,11.43,13.66,16.22,18.19,17.64,14.47,11.47,9.43
3,52,7.63,6.63,7.95,9.03,11.63,13.95,16.58,18.63,18.08,14.75,11.59,9.28
4,52,7.6,6.55,8.09,9.23,11.71,14.21,17,18.86,18.3,15.16,11.85,9.39
5,52,7.21,6.19,7.89,9.05,11.49,14.38,17.1,18.99,18.24,15.16,11.87,9.25
6,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,53,10.56,10.01,9.72,10.6,11.64,12.81,15.85,15.78,14.86,12.55,11.52,11.02
-19,53,10.9,10.32,10,10.78,11.73,12.97,16,15.85,15.02,12.71,11.73,11.16
-18,53,11.15,10.52,10.2,10.93,11.75,13.06,16.1,15.91,15.16,12.83,11.88,11.28
-17,53,11.26,10.6,10.32,11.02,11.72,13.08,16.06,15.87,15.21,12.88,11.97,11.3
-16,53,11.06,10.64,10.42,10.99,11.63,12.92,15.89,15.7,15.1,12.82,11.92,11.22
-15,53,10.99,10.65,10.47,11,11.62,12.88,15.86,15.65,15.07,12.78,11.82,11.13
-14,53,10.93,10.64,10.51,10.95,11.61,12.89,15.95,15.71,15.09,12.79,11.7,11.01
-13,53,10.83,10.58,10.48,10.86,11.6,12.95,16.08,15.81,15.09,12.79,11.59,10.89
-12,53,10.63,10.34,10.36,10.66,11.64,12.85,16.17,15.88,15.01,12.78,11.55,10.75
-11,53,10.53,10.14,10.22,10.43,11.6,12.96,16.29,15.97,14.86,12.67,11.43,10.57
-10,53,10.48,10.02,10.12,10.24,11.54,13.02,16.31,16.01,14.72,12.59,11.33,10.44
-9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,53,9.95,8.76,8.8,9.22,10.85,12.48,16.22,15.87,15.71,14.05,12.18,10.49
-6,53,9.63,8.38,8.47,8.98,10.65,12.2,15.8,15.6,15.7,14.05,11.94,10.15
-5,53,9.37,8.08,8.25,8.83,10.55,12.09,15.52,15.53,15.74,13.99,11.69,9.89
-4,53,9.24,7.97,8.15,8.6,10.49,11.98,15.23,15.49,15.16,13.37,11.43,10.09
-3,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,53,7.42,6.38,6.97,7.55,9.84,12.19,15.11,16.49,14.96,11.7,9.09,8
0,53,7.68,6.62,7.33,7.87,10.13,12.45,15.06,16.73,15.22,12.26,9.88,8.7
1,53,7.94,6.77,7.61,8.26,10.66,12.93,15.45,17.27,16.05,13.17,10.59,9.06
2,53,7.8,6.59,7.58,8.35,10.88,13.24,15.78,17.69,16.7,13.71,10.88,8.99
3,53,7.57,6.38,7.53,8.44,11.07,13.49,16.05,18.04,17.26,14.17,11.16,8.94
4,53,7.4,6.31,7.66,8.6,11.08,13.73,16.33,18.28,17.65,14.74,11.58,9.08
5,53,6.9,5.85,7.42,8.55,11.04,14.04,16.61,18.57,17.79,14.77,11.57,8.93
6,53,6.09,5.11,6.91,8.32,10.87,14.33,16.88,18.8,17.78,14.47,11.21,8.48
7,53,5.41,4.56,6.59,8.31,10.96,14.83,17.24,19.05,17.79,14.25,10.92,8.04
8,53,5.15,4.67,6.46,8.4,11.27,15.29,17.09,19.15,17.21,14.42,10.81,7.68
9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,54,10.42,9.85,9.55,10.37,11.29,12.57,15.53,15.6,14.29,12.31,11.3,10.8
-19,54,10.73,10.11,9.77,10.56,11.36,12.69,15.61,15.61,14.44,12.44,11.48,10.92
-18,54,10.94,10.26,9.92,10.71,11.39,12.76,15.67,15.62,14.56,12.52,11.61,11.02
-17,54,11.03,10.31,10,10.78,11.37,12.77,15.6,15.55,14.62,12.55,11.68,11.04
-16,54,10.82,10.34,10.08,10.75,11.31,12.52,15.43,15.34,14.52,12.5,11.71,11
-15,54,10.75,10.36,10.15,10.76,11.33,12.51,15.39,15.29,14.51,12.48,11.64,10.95
-14,54,10.7,10.38,10.22,10.77,11.37,12.56,15.48,15.34,14.55,12.5,11.56,10.89
-13,54,10.63,10.37,10.24,10.74,11.4,12.63,15.58,15.44,14.59,12.55,11.52,10.83
-12,54,10.51,10.2,10.22,10.59,11.44,12.53,15.61,15.52,14.64,12.62,11.58,10.77
-11,54,10.45,10.04,10.11,10.38,11.35,12.57,15.65,15.54,14.52,12.55,11.49,10.63
-10,54,10.38,9.86,9.95,10.12,11.21,12.53,15.57,15.45,14.31,12.43,11.38,10.51
-9,54,10.25,9.65,9.74,9.84,10.96,12.3,15.23,15.16,14.03,12.31,11.33,10.43
-8,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-6,54,9.21,7.88,8,8.59,10.23,11.66,15.15,15.02,15.14,13.69,11.71,9.84
-5,54,9.03,7.64,7.83,8.46,10.2,11.66,15.08,15.1,15.18,13.67,11.54,9.67
-4,54,9.24,7.83,7.98,8.44,10.43,11.84,15.13,15.18,14.75,13.23,11.49,10.1
-3,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,54,7.62,6.47,6.88,7.34,9.57,11.71,14.89,15.89,14.08,11.2,8.98,8.08
-1,54,7.64,6.46,6.95,7.48,9.78,12.02,14.97,16.15,14.35,11.39,9.11,8.17
0,54,7.93,6.68,7.25,7.73,10.02,12.31,14.87,16.4,14.54,11.87,9.74,8.74
1,54,8,6.72,7.38,7.89,10.26,12.58,15.07,16.77,15.09,12.41,10.09,8.81
2,54,7.86,6.58,7.37,7.95,10.42,12.8,15.3,17.1,15.7,12.91,10.33,8.7
3,54,7.64,6.39,7.34,8.01,10.56,12.96,15.45,17.36,16.27,13.38,10.62,8.64
