-20,52,10.53,10.69,10.96,10.91,11.36,13.38,15.73,15.99,15.7,13.8,11.88,11.5
-19,52,10.71,10.81,11.13,11.09,11.42,13.43,15.75,16.03,15.65,13.82,11.89,11.54
-18,52,10.79,10.86,11.14,11.12,11.38,13.41,15.68,16,15.58,13.81,11.8,11.43
-17,52,10.84,10.9,11.16,11.15,11.32,13.36,15.62,15.97,15.53,13.81,11.75,11.37
-16,52,11.02,10.99,11.31,11.31,11.34,13.44,15.66,16.01,15.53,13.83,11.89,11.57
-15,52,11.19,11.12,11.33,11.34,11.32,13.44,15.58,15.95,15.5,13.75,11.83,11.5
-14,52,11.29,11.18,11.25,11.27,11.27,13.41,15.44,15.85,15.42,13.63,11.7,11.3
-13,52,11.23,11.06,11.05,11.12,11.16,13.37,15.34,15.79,15.37,13.52,11.54,11.06
-12,52,10.87,10.74,10.77,10.92,10.98,13.47,15.38,15.83,15.49,13.46,11.43,10.77
-11,52,10.57,10.46,10.58,10.74,10.87,13.56,15.44,15.91,15.49,13.36,11.25,10.5
-10,52,10.41,10.32,10.47,10.64,10.82,13.65,15.51,15.98,15.47,13.29,11.13,10.32
-9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,52,9.37,9.01,9.1,9.4,10.28,12.77,15.31,16.17,16.18,14.24,11.94,10.64
-6,52,9.11,8.64,8.85,9.26,10.34,12.63,15.22,16.16,16.24,14.27,11.89,10.53
-5,52,8.9,8.34,8.7,9.21,10.45,12.51,15.16,16.19,16.31,14.32,11.84,10.42
-4,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-3,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,52,7.38,6.22,7.29,8.28,10.11,12.78,16.55,17.62,17.29,14.39,10.75,8.76
2,52,7.02,5.82,7,8.13,10.16,13.05,16.94,17.99,17.77,14.54,10.69,8.56
3,52,6.77,5.55,6.78,8.04,10.29,13.34,17.38,18.4,18.26,14.74,10.8,8.52
4,52,7.04,5.28,6.81,7.98,10.35,13.26,17.69,18.67,18.42,15.03,11.29,8.64
5,52,6.72,4.69,6.6,7.82,10.26,13.29,17.78,18.75,18.4,14.95,11.29,8.56
6,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,53,10.22,10.28,10.69,10.7,11.03,13.1,15.39,15.65,15.33,13.41,11.6,11.23
-19,53,10.43,10.43,10.89,10.92,11.13,13.16,15.4,15.7,15.27,13.43,11.63,11.31
-18,53,10.54,10.5,10.91,10.96,11.12,13.13,15.31,15.67,15.21,13.44,11.59,11.25
-17,53,10.6,10.55,10.91,10.97,11.08,13.08,15.25,15.65,15.15,13.46,11.56,11.21
-16,53,10.76,10.66,11,11.06,11.1,13.15,15.25,15.76,15.07,13.45,11.69,11.42
