-20,52,10.64,9.95,9.88,10.01,11.07,13.6,13.87,15.23,14.72,13.49,12.49,11.65
-19,52,10.8,10.16,10.13,10.25,11.33,13.89,14.22,15.48,15.04,13.83,12.75,11.96
-18,52,10.82,10.2,10.26,10.37,11.5,14.07,14.52,15.67,15.32,14.15,12.98,12.25
-17,52,10.87,10.27,10.36,10.46,11.61,14.2,14.77,15.77,15.5,14.37,13.12,12.42
-16,52,11.12,10.49,10.53,10.56,11.64,14.27,14.79,15.73,15.52,14.43,13.06,12.42
-15,52,11.21,10.62,10.71,10.6,11.67,14.32,14.8,15.72,15.54,14.43,12.96,12.34
-14,52,11.22,10.67,10.79,10.57,11.67,14.36,14.81,15.75,15.56,14.39,12.83,12.24
-13,52,11.14,10.63,10.71,10.44,11.6,14.45,14.88,15.76,15.53,14.31,12.67,12.08
-12,52,10.93,10.33,10.41,10.15,11.41,14.79,14.85,15.61,15.4,14.2,12.55,11.83
-11,52,10.79,10.14,10.11,9.9,11.32,15.02,14.95,15.62,15.32,14.05,12.48,11.71
-10,52,10.7,10.02,9.91,9.72,11.28,15.14,14.98,15.65,15.29,13.96,12.47,11.66
-9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,52,10.47,9.33,8.86,8.83,10.58,14.55,14.98,16.44,16.45,15.02,13.03,11.64
-6,52,10.27,9.17,8.64,8.73,10.48,14.16,14.82,16.43,16.57,15.15,13.09,11.59
-5,52,10.13,9.07,8.47,8.69,10.41,13.78,14.7,16.45,16.71,15.3,13.12,11.54
-4,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-3,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,52,9.71,8.26,7.23,8.86,10.37,13.18,15.33,17.5,18.57,16.12,12.16,10.49
2,52,9.65,8.13,7.1,8.93,10.57,13.61,15.71,17.94,19.1,16.43,12.17,10.34
3,52,9.68,8.05,7.03,9.06,10.85,14.16,16.11,18.37,19.61,16.74,12.28,10.26
4,52,9.97,8.24,6.98,9.17,11.1,14.74,16.05,18.49,19.8,16.96,12.56,10.49
5,52,9.59,7.97,6.59,8.97,11.05,15.21,16.09,18.5,19.85,16.78,12.47,10.45
6,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,53,10.3,9.7,9.51,9.64,10.55,13.26,13.33,14.74,14.28,13.09,12.15,11.44
-19,53,10.48,9.92,9.77,9.89,10.83,13.59,13.64,14.94,14.59,13.42,12.4,11.77
-18,53,10.51,9.96,9.9,10.04,11.03,13.8,13.93,15.11,14.85,13.72,12.6,12.07
-17,53,10.57,10.02,9.99,10.16,11.15,13.97,14.18,15.2,15.02,13.93,12.7,12.22
-16,53,10.79,10.19,10.18,10.25,11.2,14.09,14.31,15.11,15.04,13.99,12.67,12.14
-15,53,10.89,10.31,10.36,10.3,11.23,14.17,14.37,15.11,15.06,13.99,12.57,12.08
-14,53,10.94,10.37,10.45,10.28,11.25,14.25,14.4,15.14,15.09,13.97,12.47,12
-13,53,10.94,10.37,10.43,10.19,11.2,14.35,14.49,15.19,15.11,13.94,12.36,11.89
-12,53,10.81,10.14,10.22,9.93,11.06,14.63,14.55,15.13,15.13,13.96,12.32,11.66
-11,53,10.72,10.01,9.96,9.7,10.97,14.77,14.58,15.14,15.08,13.84,12.3,11.59
-10,53,10.63,9.91,9.74,9.51,10.9,14.81,14.53,15.1,15.01,13.72,12.3,11.58
-9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,53,10.28,9.07,8.6,8.6,10.29,14.1,14.69,16.1,16.42,15.03,13.01,11.59
-6,53,9.88,8.73,8.22,8.4,10.09,13.58,14.38,15.9,16.36,14.97,12.88,11.37
-5,53,9.62,8.52,7.96,8.28,9.96,13.14,14.27,15.84,16.34,14.87,12.69,11.17
-4,53,9.71,8.53,7.75,8.24,9.82,13,14.06,15.41,15.96,14.12,12.28,11.25
-3,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,53,8.2,7.14,6.3,7.33,8.82,12.04,14.44,16.21,16.56,13.5,9.96,8.92
0,53,8.55,7.35,6.33,7.63,9.1,11.98,14.23,16.04,16.56,13.96,10.53,9.45
1,53,8.94,7.57,6.58,8.11,9.68,12.49,14.68,16.64,17.53,14.92,11.25,9.9
2,53,8.97,7.54,6.58,8.31,10.02,13.02,15.13,17.2,18.32,15.58,11.59,9.99
3,53,8.97,7.46,6.56,8.47,10.32,13.59,15.53,17.63,18.94,16.09,11.89,10.05
4,53,9.11,7.67,6.55,8.59,10.59,14.36,15.56,17.81,19.26,16.47,12.25,10.3
5,53,8.74,7.41,6.22,8.52,10.74,15.05,15.85,18.04,19.53,16.42,12.09,10.15
6,53,7.93,6.78,5.67,8.31,10.81,15.81,16.23,18.26,19.69,16.21,11.55,9.63
7,53,7.25,6.23,5.38,8.35,11.11,16.6,16.77,18.52,19.86,16.09,11.1,9.01
8,53,6.62,6.09,5.5,8.41,11.36,16.84,17.22,18.23,20,15.76,10.52,8.39
9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,54,9.97,9.49,9.22,9.34,10.03,12.96,12.89,14.31,13.88,12.67,11.77,11.16
-19,54,10.13,9.68,9.45,9.58,10.29,13.29,13.13,14.46,14.13,12.94,11.95,11.45
-18,54,10.16,9.69,9.55,9.72,10.48,13.52,13.38,14.58,14.33,13.18,12.08,11.68
-17,54,10.2,9.72,9.62,9.84,10.59,13.69,13.61,14.64,14.47,13.34,12.14,11.81
-16,54,10.39,9.83,9.82,9.92,10.68,13.87,13.77,14.52,14.48,13.43,12.12,11.75
-15,54,10.49,9.94,9.98,9.97,10.72,13.96,13.87,14.51,14.5,13.45,12.06,11.72
-14,54,10.58,10.02,10.1,9.98,10.77,14.05,13.95,14.54,14.55,13.47,12,11.7
-13,54,10.67,10.07,10.15,9.94,10.77,14.17,14.06,14.62,14.63,13.53,11.97,11.64
-12,54,10.65,9.96,10.07,9.76,10.72,14.39,14.24,14.68,14.84,13.68,11.99,11.51
-11,54,10.62,9.89,9.85,9.55,10.62,14.45,14.2,14.68,14.84,13.62,12.02,11.46
-10,54,10.52,9.78,9.56,9.3,10.49,14.34,14.01,14.53,14.71,13.47,12.02,11.45
-9,54,10.33,9.58,9.24,9.03,10.29,14.01,13.59,14.23,14.51,13.32,12.02,11.42
-8,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-6,54,9.39,8.21,7.76,8.09,9.74,12.96,13.82,15.2,15.96,14.67,12.53,11.05
-5,54,9.21,8.09,7.58,8.01,9.68,12.66,13.89,15.23,16,14.59,12.42,10.92
-4,54,9.59,8.33,7.6,8.14,9.8,12.74,13.86,14.98,15.71,13.99,12.29,11.2
-3,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,54,8.08,7.08,6.36,7.12,8.66,11.81,14.05,15.39,15.72,12.82,10.01,9.17
-1,54,8.18,7.13,6.29,7.24,8.77,11.89,14.26,15.65,16.07,13.06,9.98,9.11
0,54,8.4,7.29,6.28,7.46,9,11.74,14.04,15.52,16.03,13.42,10.38,9.51
1,54,8.48,7.3,6.36,7.71,9.3,12.08,14.3,15.93,16.69,14.02,10.74,9.68
2,54,8.4,7.19,6.35,7.88,9.57,12.53,14.68,16.44,17.44,14.67,11.06,9.75
3,54,8.33,7.06,6.35,8.03,9.84,13.04,15.04,16.83,18.06,15.24,11.37,9.83
4,54,8.29,7.24,6.4,8.19,10.12,13.81,15.09,16.96,18.44,15.67,11.72,10.01
5,54,7.99,7.07,6.17,8.21,10.35,14.53,15.38,17.22,18.83,15.77,11.63,9.91
6,54,7.47,6.73,5.81,8.16,10.57,15.3,15.77,17.54,19.15,15.75,11.28,9.56
7,54,6.93,6.36,5.58,8.25,10.94,16.12,16.27,17.86,19.43,15.73,10.92,9.06
8,54,6.24,6.17,5.73,8.47,11.47,16.68,16.92,17.92,19.87,15.55,10.53,8.43
9,54,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,55,9.64,9.29,9,9.07,9.51,12.67,12.47,13.89,13.48,12.23,11.27,10.74
-19,55,9.76,9.42,9.17,9.27,9.71,12.97,12.63,13.99,13.65,12.41,11.38,10.95
-18,55,9.78,9.41,9.23,9.4,9.88,13.19,12.84,14.07,13.8,12.59,11.44,11.12
-17,55,9.82,9.41,9.28,9.52,9.99,13.37,13.04,14.12,13.9,12.72,11.48,11.23
-16,55,10,9.47,9.5,9.61,10.14,13.6,13.22,14,13.92,12.84,11.47,11.27
-15,55,10.12,9.58,9.67,9.69,10.21,13.7,13.36,13.99,13.95,12.9,11.47,11.3
-14,55,10.25,9.7,9.83,9.73,10.3,13.8,13.48,14.03,14.02,12.98,11.48,11.35
-13,55,10.42,9.81,9.97,9.77,10.37,13.94,13.65,14.13,14.17,13.13,11.53,11.38
-12,55,10.53,9.86,10.05,9.75,10.5,14.18,13.99,14.33,14.55,13.39,11.63,11.38
-11,55,10.56,9.86,9.89,9.6,10.43,14.18,13.94,14.38,14.65,13.42,11.7,11.38
-10,55,10.47,9.74,9.59,9.32,10.28,14.01,13.74,14.27,14.6,13.36,11.73,11.38
-9,55,10.25,9.48,9.19,9.01,10.08,13.69,13.48,14.16,14.57,13.36,11.79,11.32
-8,55,10,9.05,8.84,8.78,9.87,13.3,13.55,14.35,14.93,13.58,11.83,11.25
-7,55,9.53,8.51,8.26,8.44,9.7,12.91,13.55,14.44,15.21,13.9,12,11.09
-6,55,9.15,8.04,7.68,8.1,9.59,12.66,13.62,14.62,15.54,14.27,12.22,10.94
-5,55,8.87,7.78,7.29,7.89,9.53,12.47,13.6,14.75,15.77,14.46,12.29,10.74
-4,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-3,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,55,8.18,7.15,6.42,7.12,8.65,11.62,13.91,14.81,15.2,12.56,10.26,9.56
-1,55,8.23,7.23,6.36,7.23,8.74,11.73,14.14,15.01,15.44,12.63,10.16,9.5
0,55,8.32,7.36,6.37,7.36,8.91,11.6,14,14.94,15.38,12.79,10.26,9.66
1,55,8.22,7.28,6.41,7.49,9.08,11.85,14.19,15.32,15.93,13.24,10.39,9.62
2,55,8.02,7.1,6.36,7.58,9.25,12.23,14.49,15.76,16.6,13.83,10.6,9.59
3,55,7.85,6.91,6.32,7.69,9.45,12.66,14.75,16.07,17.16,14.39,10.84,9.62
4,55,7.68,7.01,6.42,7.87,9.72,13.31,14.79,16.11,17.51,14.75,11.08,9.71
5,55,7.45,6.92,6.24,7.9,9.94,13.95,14.98,16.28,17.89,14.93,11.05,9.69
6,55,7.11,6.77,5.97,7.88,10.17,14.62,15.25,16.54,18.24,15.01,10.84,9.48
7,55,6.78,6.61,5.74,7.9,10.42,15.21,15.52,16.77,18.47,15,10.57,9.19
8,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,55,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,56,9.25,9.03,8.78,8.83,9.14,12.38,12.02,13.43,13.13,11.76,10.68,10.21
-19,56,9.38,9.11,8.92,8.99,9.25,12.65,12.13,13.5,13.2,11.88,10.74,10.37
