-20,52,11.69,10.77,10.68,10.6,11.25,13.16,15.42,13.93,14.41,13.29,11.62,11.01
-19,52,11.77,10.94,10.84,10.78,11.45,13.46,15.69,14.18,14.55,13.38,11.79,11.19
-18,52,11.76,11.06,10.96,10.93,11.59,13.62,15.84,14.52,14.78,13.5,11.95,11.32
-17,52,11.68,11.08,10.98,11.01,11.66,13.71,15.87,14.82,15.02,13.63,12.09,11.41
-16,52,11.43,10.92,10.91,10.94,11.8,13.53,15.55,15.35,15.13,13.72,12.18,11.38
-15,52,11.33,10.83,10.79,10.86,11.75,13.51,15.59,15.41,15.08,13.74,12.2,11.43
-14,52,11.23,10.7,10.6,10.74,11.68,13.55,15.72,15.5,14.97,13.7,12.18,11.46
-13,52,11.01,10.45,10.28,10.51,11.58,13.67,16.02,15.82,14.96,13.67,12.13,11.41
-12,52,10.51,9.9,9.66,10.2,11.56,13.99,17.12,16.4,15.06,13.66,12.08,11.2
-11,52,10.22,9.49,9.18,9.91,11.51,14.32,17.63,16.64,15.08,13.58,11.97,11.07
-10,52,10.06,9.25,8.88,9.76,11.49,14.52,17.96,16.7,15.02,13.5,11.92,11.03
-9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,52,9.16,7.98,7.43,8.56,10.67,14.07,17.3,16.53,15.71,14.42,12.57,11.3
-6,52,8.88,7.75,7.24,8.48,10.66,13.85,16.91,16.4,15.87,14.61,12.67,11.33
-5,52,8.65,7.59,7.15,8.47,10.67,13.65,16.54,16.34,16.04,14.77,12.78,11.36
-4,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-3,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
0,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
1,52,7.94,6.4,6.08,8.15,10.53,14.28,17.15,18.11,17.19,15.76,12.55,10.44
2,52,7.6,5.99,5.68,8.13,10.66,14.9,17.72,18.74,17.71,15.92,12.33,10.07
3,52,7.38,5.65,5.32,8.11,10.95,15.6,18.25,19.31,18.18,16.12,12.27,9.8
4,52,7.28,5.49,5.04,8.24,11.58,15.87,18.26,19.38,18.42,16.56,12.76,9.79
5,52,7.02,4.97,4.4,7.8,11.8,16.27,18.45,19.58,18.38,16.4,12.67,9.47
6,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
7,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
8,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
9,52,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,53,11.29,10.38,10.31,10.27,10.95,12.65,14.86,13.46,13.89,12.9,11.37,10.82
-19,53,11.4,10.58,10.5,10.47,11.16,12.98,15.15,13.71,14.03,13,11.58,11.03
-18,53,11.4,10.72,10.64,10.64,11.32,13.15,15.33,14.05,14.25,13.12,11.74,11.19
-17,53,11.33,10.75,10.68,10.74,11.4,13.24,15.4,14.33,14.49,13.24,11.85,11.24
-16,53,11.17,10.66,10.61,10.68,11.52,13.01,15.06,14.95,14.63,13.27,11.83,11.1
-15,53,11.09,10.61,10.55,10.64,11.48,12.98,15.11,15.01,14.59,13.28,11.82,11.11
-14,53,11.01,10.52,10.41,10.55,11.44,12.99,15.22,15.11,14.49,13.24,11.81,11.15
-13,53,10.83,10.3,10.12,10.34,11.36,13.08,15.46,15.4,14.51,13.26,11.8,11.14
-12,53,10.33,9.76,9.5,10.02,11.38,13.32,16.45,15.99,14.75,13.29,11.79,11.02
-11,53,10.08,9.35,9.01,9.7,11.29,13.55,16.81,16.12,14.75,13.24,11.71,10.93
-10,53,9.95,9.11,8.68,9.49,11.23,13.65,17,16.03,14.61,13.13,11.66,10.89
-9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-8,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-7,53,8.92,7.58,6.98,8.17,10.42,13.51,16.54,16.05,15.51,14.26,12.49,11.28
-6,53,8.5,7.22,6.65,7.92,10.27,13.14,15.99,15.77,15.54,14.28,12.39,11.11
-5,53,8.2,7,6.48,7.81,10.24,12.98,15.71,15.77,15.55,14.15,12.24,10.91
-4,53,8.43,7.12,6.51,7.6,10.16,12.74,15.86,15.37,14.69,13.5,11.79,10.67
-3,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-2,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-1,53,6.78,5.68,5.14,6.37,9.32,12.95,16.82,17.33,15.24,12.49,9.95,8.71
0,53,7.4,5.89,5.48,6.78,9.46,13.19,16.67,16.99,15.19,13.25,10.73,9.2
1,53,7.53,5.95,5.56,7.33,9.94,13.73,17.01,17.55,16,14.23,11.5,9.7
2,53,7.32,5.68,5.27,7.44,10.17,14.39,17.52,18.31,16.79,14.75,11.7,9.68
3,53,7.12,5.38,4.95,7.41,10.37,15.08,17.93,18.93,17.45,15.18,11.89,9.61
4,53,6.97,5.25,4.64,7.38,10.82,15.47,17.88,19.1,17.9,15.82,12.48,9.71
5,53,6.64,4.75,4.05,7.16,11.23,16.03,18.2,19.41,18.04,15.77,12.29,9.23
6,53,6.09,4.1,3.38,6.89,11.42,16.61,18.51,19.67,18.08,15.33,11.57,8.36
7,53,5.65,3.72,3.03,6.63,11.65,16.85,18.68,19.83,18.06,15,11.09,7.77
8,53,5.44,3.94,2.7,5.89,11.44,16.67,18.21,19.67,17.98,14.89,11.55,7.83
9,53,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
-20,54,10.92,10.01,9.97,9.96,10.62,12.14,14.24,13.08,13.46,12.52,11.1,10.63
-19,54,11.01,10.19,10.14,10.13,10.81,12.43,14.51,13.31,13.57,12.59,11.27,10.8
-18,54,11,10.3,10.24,10.27,10.94,12.6,14.7,13.63,13.74,12.67,11.39,10.93
-17,54,10.95,10.34,10.28,10.36,11.02,12.69,14.8,13.9,13.94,12.75,11.45,10.94
-16,54,10.88,10.32,10.23,10.34,11.13,12.47,14.51,14.49,14.08,12.73,11.4,10.78
-15,54,10.83,10.33,10.23,10.35,11.13,12.46,14.61,14.56,14.05,12.73,11.39,10.78
-14,54,10.78,10.3,10.18,10.32,11.13,12.48,14.73,14.68,13.97,12.72,11.41,10.83
-13,54,10.66,10.16,9.98,10.19,11.1,12.57,14.96,14.97,14.04,12.8,11.46,10.87
-12,54,10.25,9.72,9.45,9.92,11.19,12.77,15.84,15.54,14.41,12.94,11.52,10.85
-11,54,10.06,9.35,8.96,9.56,11.06,12.91,16.07,15.58,14.44,12.94,11.5,10.82
